5,Максимально допустимое количество символов.,"vxcvxvdssdvsdvsdvsdsdvsvsvxcvxvdssdvsdvsdvsdsdvsvsvxcvxvdssdvsdvsdvsdsdvsvsvxcvxvdssdvsdvsdvsdsdvsvsvxcvxvdssdvsdvsdvsdsdvsvsjnh, ivanov, shhiva@gmail.com, 1235464",Появляется сообщение об ошибке под полем password,
6,В поле name набираем числа. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,"1213131,Ivanov, shhiva@gmail.com, 1235464",Появляется приветсвенное сообщение об успешной регистрации под полем password,
7,В поле name пишем имя с большой буквы. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,"Shhiva, Ivanov, shhiva@gmail.com, 1235464",Появляется приветсвенное сообщение об успешной регистрации под полем password,
8,В поле name пишем имя через дефис. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,"Sshh-va. Ivanov, shhiva@gmail.com, 1235464",Появляется приветсвенное сообщение об успешной регистрации под полем password,
9,В поле name пишем имя с символом. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,"shhiva! ivanov, shhiva@gmail.com, 1235464",Появляется приветсвенное сообщение об успешной регистрации под полем password,
10, В поле name набираем число через точку с запятой. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,"21;214; ivanov, shhiva@gmail.com, 1235464",Появляется приветсвенное сообщение об успешной регистрации под полем password,
,Поле Surname,,,
1,Проверка обязательности поля surname  для ввода. Не заполняем поле surname. Остальные поля заполнены валидными значениями. Нажимаем кнопку Submit.(по спеке данное поле не обязательно к заполнению),"Ivanov, shhiva@gmail.com.12451",Появляется сообщение об ошибке под полем password,
2,"Пишем слово ""Слон"". Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.","Слон,ivanov, shhiva@gmail.com, 1235464",Появляется сообщение об ошибке под полем password,
3,"Использование пробелов в тексте (перед тексом, после него, и внутри; пробелы в начале и в конце строки должны отсекаться при сохранении)","Ставим два пробела перед словом ""Shh iva"" и два пробела после ,и один в середине слова, ivanov, shhiva@gmail.com, 1235464",Появляется сообщение об ошибке под полем password,
4,Минимально допустимое количество символов (по спеке это диапазон от 1 до 128),"S, ivanov, shhiva@gmail.com, 1235464",Появляется сообщение об ошибке под полем password,
5,Максимально допустимое количество символов (по спеке это диапазон от 1 до 128),"vxcvxvdssdvsdvsdvsdsdvsvsvxcvxvdssdvsdvsdvsdsdvsvsvxcvxvdssdvsdvsdvsdsdvsvsvxcvxvdssdvsdvsdvsdsdvsvsvxcvxvdssdvsdvsdvsdsdvsvsjnh,  ivanov, shhiva@gmail.com, 1235464",Появляется сообщение об ошибке под полем password,
6,В поле surname набираем числа. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,"1213131, ivanov, shhiva@gmail.com, 1235464",Появляется приветсвенное сообщение об успешной регистрации под полем password,
7,В поле surname пишем имя с большой буквы. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,"Shhiva, ivanov, shhiva@gmail.com, 1235464",Появляется приветсвенное сообщение об успешной регистрации под полем password,
8,В поле surname пишем имя через дефис. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,"Sshh-va, ivanov, shhiva@gmail.com, 1235464",Появляется приветсвенное сообщение об успешной регистрации под полем password,
9,В поле surname пишем имя с символом. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,"shhiva!,  ivanov, shhiva@gmail.com, 1235464",Появляется приветсвенное сообщение об успешной регистрации под полем password,
10,В поле surname набираем число через точку с запятой. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,"21;214;ivanov, shhiva@gmail.com, 1235464",Появляется приветсвенное сообщение об успешной регистрации под полем password,
,Filed name : email,,,
1,Не заполняем поле email. Остальные поля заполнены валидными значениями. Нажимаем кнопку Submit.,"Ivan, Ivanov, 12135",Появляется приветсвенное сообщение об успешной регистрации под полем password,
2,"Можно ли в поле email писать только латиницей.Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",Слон@ытаытао.рф,Появляется приветсвенное сообщение об успешной регистрации под полем password,
3,"Пишем Email в нижнем регистре. Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",shhiva@yandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
4,"Пишем Email в верхнем регистре. Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",SHHIVA@yandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
5,"Пишем Email с цифрами в имени пользователя. Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",12213123@yandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
6,"Пишем Email с цифрами в доменной части. Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",shhiba@yandex13133132.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
7,"Пишем Email с дефисом в имени пользователя. Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",shhi-va@yandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
8,"Пишем Email с дефисом в доменной части. Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",shhiva@yand-ex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
9,"Пишем Email со знаком подчеркивания в имени пользователя. Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",shh_va@yandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
10,"Пишем Email со знаком подчеркивания в доменной части. Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",shhiva@yan_dex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
11,"Пишем Email с точками в имени пользователя.Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",shh.va@yandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
12,"Пишем Email с несколькими точками в доменной части. Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",shhiva@yand..ex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
13,"Пишем Email без точек в доменной части.Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",shhiva@yandexru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
15,"Пишем  email с отсутсвием @ в доменной части. Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",shhivayandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
16,"Пишем Email с пробелами в имени пользователя. Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",s h i v a@yandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
17,"Пишем Email с пробелами в доменной части. Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",shhiva@ y a n dex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
18,"Пишем Email без имени пользователя. Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",@yandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
19,"Пишем Email без доменной части. Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",shhiva@,Появляется приветсвенное сообщение об успешной регистрации под полем password,
20,"Пишем спецсимволы  после @. Заполняем все поля валидными значениями, кроме поля email. Нажимаем кнопку submit.",shhiva@yan&&&&x.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
,Filed name : password,,,
1,Не заполняем поле password. Остальные поля заполнены валидными значениями. Нажимаем кнопку Submit.,"Ivanov, Ivan, shhiva@gmail.com",Появляется приветсвенное сообщение об успешной регистрации под полем password,
2,Пишем на кирилице в поле password. Остальные поля заполнены валидными значениями. Нажимаем submit.,Слон,Появляется приветсвенное сообщение об успешной регистрации под полем password,
3,Пишем пароль с пробелами в поле password. Остальные поля заполнены валидными значениями. Нажимаем submit.,dgdsgsds   sdfdsfsdfsd,Появляется приветсвенное сообщение об успешной регистрации под полем password,
4,Вводим один символ в поле password. Остальные поля заполнены валидными значениями. Нажимаем submit. ,S,Появляется приветсвенное сообщение об успешной регистрации под полем password,
5,Вводим максимально допустимое количество символов в поле password. Остальные поля заполнены валидными значениями. Нажимаем submit.,dgdsgdsgsdgsdgsdgsdgsdgsdgsdgsdg,Появляется приветсвенное сообщение об успешной регистрации под полем password,
6,"Обязательные символы для поля password: 1 цифа, 1 большая буква и 1 спецсимвол. Пишем пароль без спец. требований. Нажимаем sudmit.",fdsfs,Появляется приветсвенное сообщение об успешной регистрации под полем password,
7,Создаем пароль со скобками в поле password. Остальные поля заполнены валидными значениями. Нажимаем submit.,(jjnjn){kjn},Появляется приветсвенное сообщение об успешной регистрации под полем password,
,Чек-лист по всей форме,,,
1,"Проверить правильное заполнение формы.(правильно заполнить форму, штатно указав все обязательные пункты и все необязательные. Проверить правильность прохождения запланированного процесса регистрации)","Ivan, Ivanov, shhiva@yandex.ru, 3326626",Появляется приветсвенное сообщение об успешной регистрации под полем password,
2,"Не заполняем ничего. (Ничего в форме не заполняем и кликаем на ""submit"". При штатном исполнении, сервер должен показать ошибку заполнения обязательных полей).",,Появляется сообщение об ошибке под полем password,
3,"Заполнить форму с пропуском обязательных пунктов. (Заполняем форму с пропуском (по очереди) любого из обязательных пунктов регистрации. Форма не должна сработать, а сервер показать ошибку).","Ivan , shhiva@yandex.ru, 3326626",Появляется сообщение об ошибке под полем password,
4,Заполняем форму с пропуском необязательных пунктов. (Заполните форму с пропуском (по очереди) любого из необязательных пунктов регистрации. Форма должна сработать при пропуске любого из необязательных пунктов и пропуске всех необязательных пунктов полностью).,"Ivan, Ivanov, 3326626",Появляется приветсвенное сообщение об успешной регистрации под полем password,
5,"Заполним форму перепутав латиницу с кириллицей. (После заполнения формы и нажатия  submit,  должно появляться красным ошибка, ""ошибка ввода"")","Иван, Иванов,солнце@нюша.рф, 3326626",Появляется приветсвенное сообщение об успешной регистрации под полем password,
6,Проверим правильность расположения текста в полях и на всех кнопках. (На кнопке submit текст располоден не по центру).,,,
7,Проверим правильность написание шапки формы. (в шапке формы присутствуют пробелы).,ITCareerToday web form,,
