5,Максимально допустимое количество символов.,vxcvxvdssdvsdvsdvsdsdvsvsvxcvxvdssdvsdvsdvsdsdvsvsvxcvxvdssdvsdvsdvsdsdvsvsvxcvxvdssdvsdvsdvsdsdvsvsvxcvxvdssdvsdvsdvsdsdvsvsjnh,Появляется сообщение об ошибке под полем password,
6,Можно ли вводить числа в поле name.В поле name набираем числа. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,"1213131,Ivanov, shhiva@gmail.com, 1235464",Появляется приветсвенное сообщение об успешной регистрации под полем password,
7,Является ли поле Name регистрозависимое.В поле name пишем имя с большой буквы. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,"Shhiva, Ivanov, shhiva@gmail.com, 1235464",Появляется приветсвенное сообщение об успешной регистрации под полем password,
8,Можно ли ставить дефис.В поле name пишем имя через дефис. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,"Sshh-va. Ivanov, shhiva@gmail.com, 1235464",Появляется приветсвенное сообщение об успешной регистрации под полем password,
9,Можно ли писать спец.символы?В поле name пишем имя с символом. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,shhiva!,Появляется приветсвенное сообщение об успешной регистрации под полем password,
10,Можно ли писать формат числовых данных? В поле name набираем число через точку с запятой. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,21;214;,Появляется приветсвенное сообщение об успешной регистрации под полем password,
,Поле Surname,,,
1,Проверка обязательности поля surname  для ввода. Не заполняем поле surname. Остальные поля заполнены валидными значениями. Нажимаем кнопку Submit.(по спеке данное поле не обязательно к заполнению),"Ivanov, shhiva@gmail.com.12451",Появляется сообщение об ошибке под полем password,
2,"Можно ли в поле surname писать только латиницей, как заявленно в спеке. Пишем слово ""Слон"". Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.",Слон,Появляется сообщение об ошибке под полем password,
3,"Использование пробелов в тексте (перед тексом, после него, и внутри; пробелы в начале и в конце строки должны отсекаться при сохранении)","Ставим два пробела перед словом ""Shh iva"" и два пробела после ,и один в середине слова",Появляется сообщение об ошибке под полем password,
4,Проверим минимально допустимое количество символов (по спеке это диапазон от 1 до 128),S,Появляется сообщение об ошибке под полем password,
5,Проверим максимально допустимое количество символов (по спеке это диапазон от 1 до 128),vxcvxvdssdvsdvsdvsdsdvsvsvxcvxvdssdvsdvsdvsdsdvsvsvxcvxvdssdvsdvsdvsdsdvsvsvxcvxvdssdvsdvsdvsdsdvsvsvxcvxvdssdvsdvsdvsdsdvsvsjnh,Появляется сообщение об ошибке под полем password,
6,Проверим можно вводить числа в поле surname.В поле surname набираем числа. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,1213131,Появляется приветсвенное сообщение об успешной регистрации под полем password,
7,Является ли поле surname регистрозависимое.В поле surname пишем имя с большой буквы. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,Shhiva,Появляется приветсвенное сообщение об успешной регистрации под полем password,
8,Можно ли ставить дефис.В поле surname пишем имя через дефис. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,Sshh-va,Появляется приветсвенное сообщение об успешной регистрации под полем password,
9,Можно ли писать спец.символы?В поле surname пишем имя с символом. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,shhiva!,Появляется приветсвенное сообщение об успешной регистрации под полем password,
10,Можно ли писать формат числовых данных? В поле surname набираем число через точку с запятой. Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.,21;214;,Появляется приветсвенное сообщение об успешной регистрации под полем password,
,Filed name : email,,,
1,Проверка обязательности поля email  для ввода. Не заполняем поле email. Остальные поля заполнены валидными значениями. Нажимаем кнопку Submit.,"Ivan, Ivanov, 12135",Появляется приветсвенное сообщение об успешной регистрации под полем password,
2,"Можно ли в поле email писать только латиницей, как заявленно в спеке.",Слон@ытаытао.рф,Появляется приветсвенное сообщение об успешной регистрации под полем password,
3,Можно ли писать Email в нижнем регистре?,shhiva@yandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
4,Можно ли писать Email в верхнем регистре?,SHHIVA@yandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
5,Можно ли писать Email с цифрами в имени пользователя?,12213123@yandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
6,Можно ли писать Email с цифрами в доменной части?,shhiba@yandex13133132.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
7,Можно ли писать Email с дефисом в имени пользователя?,shhi-va@yandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
8,Можно ли писать Email с дефисом в доменной части?,shhiva@yand-ex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
9,Можно ли писать Email со знаком подчеркивания в имени пользователя?,shh_va@yandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
10,Можно ли писать Email со знаком подчеркивания в доменной части?,shhiva@yan_dex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
11,Можно ли писать Email с точками в имени пользователя?,shh.va@yandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
12,Можно ли писать Email с несколькими точками в доменной части?,shhiva@yand..ex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
13,Можно ли писать Email без точек в доменной части?,shhiva@yandexru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
15,Может ли быть отсутствие @ в email?,shhivayandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
16,Может ли быть Email с пробелами в имени пользователя,s h i v a@yandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
17,Может ли быть Email с пробелами в доменной части,shhiva@ y a n dex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
18,Может ли быть Email без имени пользователя,@yandex.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
19,Может ли быть Email без доменной части,shhiva@,Появляется приветсвенное сообщение об успешной регистрации под полем password,
20,Можно ли писать спецсимволы  после @?,shhiva@yan&&&&x.ru,Появляется приветсвенное сообщение об успешной регистрации под полем password,
,Filed name : password,,,
1,Проверка обязательности поля password  для ввода. Не заполняем поле password. Остальные поля заполнены валидными значениями. Нажимаем кнопку Submit.,"Ivanov, Ivan, shhiva@gmail.com",Появляется приветсвенное сообщение об успешной регистрации под полем password,
2,"Можно ли в поле password писать только латиницей, как заявленно в спеке. Пишем на кирилице и нажимаем submit.",Слон,Появляется приветсвенное сообщение об успешной регистрации под полем password,
3,Можно ли использовать пробелы в пароле? Пишем пароль с пробелами. Нажимаем submit.,dgdsgsds   sdfdsfsdfsd,Появляется приветсвенное сообщение об успешной регистрации под полем password,
4,Минимально допустимое количество символов (по спеке это диапазон от 5). Вводим один символ. Нажимаем на Submit.,S,Появляется приветсвенное сообщение об успешной регистрации под полем password,
5,Максимально допустимое количество символов (по спеке это диапазон от 1 до 32,dgdsgdsgsdgsdgsdgsdgsdgsdgsdgsdg,Появляется приветсвенное сообщение об успешной регистрации под полем password,
6,"Обязательные символы для поля password: 1 цифа, 1 большая буква и 1 спецсимвол. Пишем пароль без спец. требований. Нажимаем sudmit.",fdsfs,Появляется приветсвенное сообщение об успешной регистрации под полем password,
7,Можно ли писать скобки в пароле? Создаем пароль со скобками. Нажимаем submit.,(jjnjn){kjn},Появляется приветсвенное сообщение об успешной регистрации под полем password,
,Чек-лист по всей форме,,,
1,"Проверить правильное заполнение формы.(правильно заполнить форму, штатно указав все обязательные пункты и все необязательные. Проверить правильность прохождения запланированного процесса регистрации)","Ivan, Ivanov, shhiva@yandex.ru, 3326626",Появляется приветсвенное сообщение об успешной регистрации под полем password,
2,"Не заполняем ничего. (Ничего в форме не заполняем и кликаем на ""submit"". При штатном исполнении, сервер должен показать ошибку заполнения обязательных полей).",,Появляется сообщение об ошибке под полем password,
3,"Заполнить форму с пропуском обязательных пунктов. (Заполняем форму с пропуском (по очереди) любого из обязательных пунктов регистрации. Форма не должна сработать, а сервер показать ошибку).","Ivan , shhiva@yandex.ru, 3326626",Появляется сообщение об ошибке под полем password,
4,Заполняем форму с пропуском необязательных пунктов. (Заполните форму с пропуском (по очереди) любого из необязательных пунктов регистрации. Форма должна сработать при пропуске любого из необязательных пунктов и пропуске всех необязательных пунктов полностью).,"Ivan, Ivanov, 3326626",Появляется приветсвенное сообщение об успешной регистрации под полем password,
5,"Заполним форму перепутав латиницу с кириллицей. (После заполнения формы и нажатия  submit,  должно появляться красным ошибка, ""ошибка ввода"")","Иван, Иванов,солнце@нюша.рф, 3326626",Появляется приветсвенное сообщение об успешной регистрации под полем password,
6,Проверим правильность расположения текста в полях и на всех кнопках. (На кнопке submit текст располоден не по центру).,,,
7,Проврим правильность написание шапки формы. (в шапке формы присутствуют пробелы).,ITCareerToday web form,,
